№; region;customer; type; receiver;win; model; ;final price; trades date
4127;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4128;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4129;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4130;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4131;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4132;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Фа;;Ворсма ТД;«Передвижной флюорограф» ВМК3033-01 ;1;10 820 000,00;11.11.2020 12:30
4133;Пензенская область;"ФГБУ ""ФЦССХ"" МИНЗДРАВА РОССИИ (Г. ПЕНЗА)";АГ;ПП;Siemens;Artis Q ceiling, базовый блок вариант 1;1;70 000 000,00;10.11.2020 11:25
4134;Санкт-Петербург;"СПБ ГКУ ""ДИРЕКЦИЯ ПО ЗАКУПКАМ КОМИТЕТА ПО ЗДРАВООХРАНЕНИЮ""";АПР;ПП;Samsung;GM85;1;20 126 666,67;13.11.2020 9:55
4135;Забайкальский край;"ГКУ ""ЗАБГОСЗАКУП""";КРТ;ППД1;GMM;OPERA 90/30 50;1;17 993 333,33;10.11.2020 10:30
4136;Забайкальский край;"ГКУ ""ЗАБГОСЗАКУП""";КРТ;ППД1;Электрон;"КРТ-""МАКСИМА"" 90/30 50";1;17 900 000,00;10.11.2020 10:20
4137;Вологодская область;КОМИТЕТ ГОСЗАКАЗА  ОБЛАСТИ;РХА;ПП;Гелпик;«РЕНЕКС» ;1;11 200 000,00;11.11.2020 9:00
4138;Санкт-Петербург;АДМИНИСТРАЦИЯ КУРОРТНОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;РХА;УРИ;GE;OEC 9900 Elite ;1;13 122 400,00;10.11.2020 11:00
4139;Новосибирская область;ИЦИГ СО РАН;РХА;ПП;Siemens;"""Cios Spin""";1;33 629 266,67;
4140;Московская область;"ГБУЗ МО ""ВПРБ""";КРД-2;ППМ;Ренмедпром;ГАММА ;1;9 859 796,01;12.11.2020 11:15
4141;Белгородская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯ БЕЛГОРОДСКОЙ ОБЛАСТИ;Ф;ПП;Гелпик;«РЕНЕКС-Ф5000» ;1;6 984 400,00;17.11.2020 10:15
4142;Белгородская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯ БЕЛГОРОДСКОЙ ОБЛАСТИ;Ф;ПП;Электрон;ФЦ-Око;1;6 985 045,05;17.11.2020 10:05
4143;Омская область;"КУ ОО ""ЦЕНТР ЗАКУПОК В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";CR ;;;;1;;11.11.2020 11:45
4144;Санкт-Петербург;"СПБ ГКУ ""ДИРЕКЦИЯ ПО ЗАКУПКАМ КОМИТЕТА ПО ЗДРАВООХРАНЕНИЮ""";АПР;ППМ;Samsung;GM85;1;20 000 000,00;11.11.2020 11:35
4145;Тюменская область;"ГАУЗ ТО ""ГОРОДСКАЯ ПОЛИКЛИНИКА №6""";М;ПП;н/д;;1;14 000 000,00;
4146;Тюменская область;"ГАУЗ ТО ""ГОРОДСКАЯ ПОЛИКЛИНИКА №6""";Ф;ПП;н/д;;1;7 300 000,00;
4147;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4148;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4149;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4150;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4151;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4152;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4153;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4154;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4155;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4156;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4157;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4158;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4159;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4160;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4161;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4162;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4163;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4164;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4165;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4166;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4167;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;н/джц;;1;35 108 184,87;
4168;Кемеровская область;АО «ЕЭТП»;МРТ;1,5;;;1;;11.11.2020 9:15
4169;Камчатский край;"ГБУЗ КК ""ОЛЮТОРСКАЯ РАЙОННАЯ БОЛЬНИЦА""";АПР;ППМ;МТЛ;«МобиРен-4-МТ»;1;9 800 000,00;19.11.2020 10:54
4170;Ростовская область;"ФКУ ""СКОУМТС МВД РОССИИ""";КТ;64;GE;Revolution EVO;1;35 530 000,00;17.11.2020 12:30
4171;Брянская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК БРЯНСКОЙ ОБЛАСТИ;Ф;ПП;Гелпик;«РЕНЕКС-Ф5000» ;1;6 200 000,00;16.11.2020 11:30
4172;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;;КРД-2;;;1;не состосялся;13.11.2020 10:45
4173;Москва;"ГБУЗ ""ГКБ № 13 ДЗМ""";РХА;ПП;н/д;;1;27 000 000,00;
4174;Нижегородская область;"ГКУ НО ""ЦРЗ НО""";КТ;64;Siemens;SOMATOM go.Up  ;1;35 172 031,12;16.11.2020 9:00
4175;Москва;"ФГАУ ""НМИЦ НЕЙРОХИРУРГИИ ИМ. АК. Н.Н. БУРДЕНКО"" МИНЗДРАВА РОССИИ";МРТ;1,5;;;1;;
4176;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";КТжц;512;Toshiba/CanonЖЦ;;1;146 565 578,09;
4177;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";КТжц;512;Toshiba/CanonЖЦ;;1;146 565 578,09;
4178;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";КТжц;512;Toshiba/CanonЖЦ;;1;146 565 578,09;
4179;Республика Тыва;МИНИСТЕРСТВО РЕСПУБЛИКИ ТЫВА ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;АПР;ППМ;Севкаврентген;Парус;1;6 565 200,00;20.11.2020 11:25
4180;Оренбургская область;"ГКУ ""ЦОЗ""";;РХА;;;1;отменен;20.11.2020 11:15
4181;Владимирская область;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ;КРД-2;ППС;Электрон;АРЦ-«ОКО» ;1;14 144 352,00;20.11.2020 10:35
4182;Забайкальский край;"ГКУ ""ЗАБГОСЗАКУП""";КТ;16;GE;OptimaCT520 ;1;27 500 000,00;19.11.2020 10:00
4183;Забайкальский край;"ГКУ ""ЗАБГОСЗАКУП""";КРТ;УРИ+ППМ;МТЛ;"""Р-500 ""Полидиагност"" ";1;18 000 000,00;20.11.2020 12:50
4184;Забайкальский край;"ГКУ ""ЗАБГОСЗАКУП""";Ф;СЛ;Амико;«ПроСкан-2000»;1;5890000, 00;20.11.2020 12:10
4185;Оренбургская область;"ГКУ ""ЦОЗ""";КРД-2/СМ;ПП;Амико;АРгЦ-РП (ПроГраф) ;1;10 350 000,00;20.11.2020 9:35
4186;Удмуртская Республика;"ГКУ УР ""РЦЗ УР""";Ф;ПП;Гелпик;«РЕНЕКС-Ф5000» ;1;6 769 357,78;17.11.2020 11:55
4187;Санкт-Петербург;"СПБ ГБУЗ ""ГОРОДСКАЯ БОЛЬНИЦА № 26""";АПР;ППМ;Ренмедпром;Дельта;1;7 947 666,67;18.11.2020 9:42
4188;Калужская область;"ФГБУ ""НМИЦ РАДИОЛОГИИ"" МИНЗДРАВА РОССИИ";АПР;ППМ;;Mobilett Mira Max ;1;15 000 000,00;
4189;Москва;"ФГБНУ ""НИИ МТ""";КТ;128;Siemens;SOMATOM go.Top, ;1;60 996 600,00;23.11.2020 11:02
4190;Республика Марий Эл;МИНИСТЕРСТВО СТРОИТЕЛЬСТВА, АРХИТЕКТУРЫ И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА РЕСПУБЛИКИ МАРИЙ ЭЛ;МРТ;1,5;;;1;;18.11.2020 10:10
4191;Московская область;ФГБУЗ ЦМСЧ № 21 ФМБА РОССИИ;МРТ;1,5;;;1;;18.11.2020 9:23
4192;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4193;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4194;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4195;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4196;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4197;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4198;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4199;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4200;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4201;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4202;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4203;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4204;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4205;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4206;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4207;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4208;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4209;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4210;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4211;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4212;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4213;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4214;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4215;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4216;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4217;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4218;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 055 911,42;
4219;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4220;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4221;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4222;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4223;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4224;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4225;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4226;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4227;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4228;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4229;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4230;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4231;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4232;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4233;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4234;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4235;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4236;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4237;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";РХАжц;ПП;GEЖЦ;;1;16 099 053,15;
4238;Москва;"ФГБУ ""ФЕДЕРАЛЬНЫЙ МЕДИЦИНСКИЙ ЦЕНТР"" РОСИМУЩЕСТВА";КРД-2/СМ;ПП;н/д;корея;1;18 810 000,00;
4239;Краснодарский край;"ГКУ КК ""ДГЗ""";КРТ;ППД1;Севкаврентген;«Диаком» ;1;23 500 000,00;24.11.2020 9:10
4240;Республика Тыва;МИНИСТЕРСТВО РЕСПУБЛИКИ ТЫВА ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;АПР;П;Гелпик;Ренекс;1;2 199 949,73;24.11.2020 9:15
4241;Московская область;"ГБУЗ МО ""ЧОБ""";АПР;ППМ;Гелпик;Ренекс;1;6 500 000,00;20.11.2020 11:30
4242;Калужская область;МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИ КАЛУЖСКОЙ ОБЛАСТИ;КРД-2;ППС;Уралрентген;«ЦРДК-УР» ;1;11 700 000,00;23.11.2020 13:30
4243;Республика Крым;"ГБУЗРК ""КРЦМКИСМП""";АПР;ППМ;Medical ECONET;Econet meX+60;1;3 708 900,00;23.11.2020 9:10
4244;Владимирская область;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ;КРД-2;ППС+ППМ;Ренмедпром;ГАММА;1;14 226 264,97;24.11.2020 10:20
4245;Красноярский край;БОЛЬНИЦА КНЦ СО РАН;;Ф;;;1;не состоялся;23.11.2020 11:02
4246;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;КРТ-С;УРИ+ППС;Амико;«МЕДИКС-РЦ-«АМИКО» ;1;19 866 666,67;24.11.2020 11:09
4247;Санкт-Петербург;"СПБ ГКУ ""ДИРЕКЦИЯ ПО ЗАКУПКАМ КОМИТЕТА ПО ЗДРАВООХРАНЕНИЮ""";РХА;УРИ;GE;ОЕС 9900 Elite ;1;13 331 800,00;20.11.2020 11:55
4248;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;КРД-2;ППС;Italray;CLINOMAT;1;13 488 333,30;20.11.2020 9:00
4249;Калининградская область;ГАУЗ ГУРЬЕВСКАЯ ЦРБ;АПР;ППМ;МТЛ;«МобиРен-4МТ»,;1;8 490 000,00;
4250;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4251;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4252;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4253;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4254;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4255;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4256;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4257;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4258;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4259;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4260;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4261;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4262;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4263;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4264;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ПП;GEЖЦ;;1;27 797 807,65;
4265;Москва;"ФГБУ ""ФНКЦ ДЕТЕЙ И ПОДРОСТКОВ ФМБА РОССИИ""";МРТ;1,5;;;1;;20.11.2020 10:04
4266;Москва;"ФГАУ ""НМИЦ НЕЙРОХИРУРГИИ ИМ. АК. Н.Н. БУРДЕНКО"" МИНЗДРАВА РОССИИ";МРТ;1,5;;;1;;30.11.2020 9:00
4267;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";КТжц;512;Toshiba/CanonЖЦ;;1;156 849 656,45;
4268;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";КТжц;512;Toshiba/CanonЖЦ;;1;156 849 656,45;
4269;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";КТжц;512;Toshiba/CanonЖЦ;;1;156 849 656,45;
4270;Республика Башкортостан;"ПАО ""ОДК-УМПО""";КТ;64;Siemens;SOMATOM go.Up;1;44 834 015,00;
4271;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;РХА;УРИ;Амико;АРХП- «АМИКО», ;1;8 084 000,00;27.11.2020 9:35
